Sample tag#,Subspp/Prov ID,STATE,Subspecies,subsppcyt,Prov,Repl,,survivorship,width (in),height (in)
1,CO'W-1-5,CO',W,W4n,-1,-5,CO'W-1,Dead,,
2,NVV-1-6,NV,V,V2n,-1,-6,NVV-1,Dead,,
3,NVV-2-3,NV,V,V2n,-2,-3,NVV-2,Dead,,
4,MTT-1-7,MT,T,T2n,-1,-7,MTT-1,Barely Alive,25,7
5,CAV-1-8,CA,V,V2n,-1,-8,CAV-1,Dead,,
6,UT'V-3-5,UT',V,V4n,-3,-5,UT'V-3,Alive,31,36
7,CAV-2-8,CA,V,V2n,-2,-8,CAV-2,Dead,,
8,UTT-3-8,UT,T,T2n,-3,-8,UTT-3,Alive,50,44
9,CA'V-4-3,CA',V,V4n,-4,-3,CA'V-4,Dead,,
10,WA'T-2-3,WA',T,T4n,-2,-3,WA'T-2,Alive,27,34
11,OR'V-1-2,OR',V,V4n,-1,-2,OR'V-1,Barely Alive,25,10
12,UTT-1-10,UT,T,T2n,-1,-10,UTT-1,Barely Alive,25,48
13,WA'T-2-6,WA',T,T4n,-2,-6,WA'T-2,Dead,,
14,CAV*W-3-9,CA,V,V2n,*W-3,-9,CAV*W-3,Dead,,
15,ORT*W-2-1,OR,T,T2n,*W-2,-1,ORT*W-2,Dead,,
16,NV'V-3-7,NV',V,V4n,-3,-7,NV'V-3,Dead,,
17,MT'W-1-7,MT',W,W4n,-1,-7,MT'W-1,Dead,,
18,UT'W-1-9,UT',W,W4n,-1,-9,UT'W-1,Barely Alive,27,29
19,IDV-2-4,ID,V,V2n,-2,-4,IDV-2,Dead,,
20,UTT-1-8,UT,T,T2n,-1,-8,UTT-1,Dead,,
21,CA'V-4-5,CA',V,V4n,-4,-5,CA'V-4,Dead,,
22,ORT-3-6,OR,T,T2n,-3,-6,ORT-3,Dead,,
23,NM'T-2-5,NM',T,T4n,-2,-5,NM'T-2,Alive,33,31
24,CA'V-3-1,CA',V,V4n,-3,-1,CA'V-3,Dead,,
25,UTT-1-5,UT,T,T2n,-1,-5,UTT-1,Alive,45,32
26,NVT*W-1-9,NV,T,T2n,*W-1,-9,NVT*W-1,Dead,,
27,NVT-2-1,NV,T,T2n,-2,-1,NVT-2,Dead,,
28,NVV-1-10,NV,V,V2n,-1,-10,NVV-1,Dead,,
29,AZ'T-1-6,AZ',T,T4n,-1,-6,AZ'T-1,Barely Alive,29,17
30,NVT-2-2,NV,T,T2n,-2,-2,NVT-2,Barely Alive,49,56
31,ORT-3-7,OR,T,T2n,-3,-7,ORT-3,Dead,,
32,IDV-5-3,ID,V,V2n,-5,-3,IDV-5,Barely Alive,49,10
33,UTT-2-2,UT,T,T2n,-2,-2,UTT-2,Dead,,
34,MTV-1-1,MT,V,V2n,-1,-1,MTV-1,Dead,,
35,MT'W-3-8,MT',W,W4n,-3,-3,MT'W-3,Dead,,
36,IDV-2-3,ID,V,V2n,-2,-3,IDV-2,Alive,49,10
37,MTT-1-4,MT,T,T2n,-1,-4,MTT-1,Dead,,
38,OR'W-1-4,OR',W,W4n,-1,-4,OR'W-1,Dead,,
39,CAT-1-2,CA,T,T2n,-1,-2,CAT-1,Barely Alive,26,25
40,ORT-2-2,OR,T,T2n,-2,-2,ORT-2,Alive,41,43
41,WY'W-1-1,WY',W,W4n,-1,-1,WY'W-1,Dead,,
42,ORT-2-6,OR,T,T2n,-2,-6,ORT-2,Alive,52,68
43,CAV*W-3-1,CA,V,V2n,*W-3,-1,CAV*W-3,Dead,,
44,MT'W-2-5,MT',W,W4n,-2,-5,MT'W-2,Barely Alive,25,15
45,NVV-2-10,NV,V,V2n,-2,-10,NVV-2,Barely Alive,17,12
